"","SEQNO","ASSET","STRUC_TYPE","MDE_STRUCT","STRUC_DTAL","SW_CAT","PROP_NAME","ACCS_STRT","DEPARTMENT","SEDCONPMT","APPR_DATE","FINAL_DATE","TOTAL_DA","RCN","COMMENTS","POINT_X","POINT_Y","LAND_USE","UPDATE_BY","L_UPDATE","GISOBJID","SW_FILE","P_ST_ADD","MDE","MDN","EASEMENT","COVENANT","STATUS","INSP_REG","Acct","Type_Desc","lulc_70","lulc_40","lulc_30","lulc_20","year","site","lulc_unknown"
"1","290864.14",25508,"AQFIL","FUND","5208H","UG","CABIN BRANCH - WINCHESTER PHASE 1.1","WELLSPRING AVENUE","SWM-RESID-DEP",246271,"05/02/2013 12:00:00 AM +0000","11/03/2017 12:00:00 AM +0000",NA,NA,NA,1230063.83188,567248.892329,21,"KR","03/12/2018 12:00:00 AM +0000",100015214,"282018","WELLSPRING AVENUE",NA,NA,"46519/163","46519/170","I","INSP-REG03","03732861","Aquafilter",0,0,0,605.679938445799,"2015","cb",0
"2","290864.06",25416,"FSU","OTH","4084","UG","CABIN BRANCH - WINCHESTER PHASE 1.1","ESTUARY DRIVE","SWM-MCG-DEP",246271,"05/02/2013 12:00:00 AM +0000","11/03/2017 12:00:00 AM +0000",NA,NA,NA,1230112.42267,566974.588743,21,"KR","03/12/2018 12:00:00 AM +0000",100015215,"282018","ESTUARY DRIVE",NA,NA,NA,NA,"I","INSP-REG03","ROW","Flow splitter underground",0,0,24.5380750373006,1801.56498547271,"2015","cb",0
"3","290864.02",25403,"AQSW","XOGS","404A","UG","CABIN BRANCH - WINCHESTER PHASE 1.1","ESTUARY DRIVE","SWM-MCG-DEP",246271,"05/02/2013 12:00:00 AM +0000","11/03/2017 12:00:00 AM +0000",NA,NA,NA,1230140.60765,566953.038918,21,"KR","03/12/2018 12:00:00 AM +0000",100015216,"282018","ESTUARY DRIVE",NA,NA,NA,NA,"I","INSP-REG03","ROW","Aquaswirl",0,0,47.0521334558725,7644.45090133417,"2015","cb",0
"4","290864.05",25560,"STFIL","FUND","404D","UG","CABIN BRANCH - WINCHESTER PHASE 1.1","ESTUARY DRIVE","SWM-MCG-DEP",246271,"05/02/2013 12:00:00 AM +0000","11/03/2017 12:00:00 AM +0000",NA,NA,"Stru type changed JELLY to STFIL per Ron",1230277.43644,567116.222975,21,"RM","11/18/2019 12:00:00 AM +0000",100015217,"282018","ESTUARY DRIVE",NA,NA,NA,NA,"I","INSP-REG03","ROW","Stormfilter",0,0,0,605.682989428751,"2015","cb",0
"5","290864.08",25369,"AQSW","XOGS","505A","UG","CABIN BRANCH - WINCHESTER PHASE 1.1","WELLSPRING AVENUE","SWM-MCG-DEP",246271,"05/02/2013 12:00:00 AM +0000","11/03/2017 12:00:00 AM +0000",NA,NA,NA,1229875.30339,567063.379576,21,"KR","03/12/2018 12:00:00 AM +0000",100015218,"282018","WELLSPRING AVENUE",NA,NA,NA,NA,"I","INSP-REG03","ROW","Aquaswirl",0,0,0,14394.0008484125,"2015","cb",0
"6","290864.07",25462,"INFB","ITRN","505 - RECHARGE TRENCH","UG","CABIN BRANCH - WINCHESTER PHASE 1.1","WELLSPRING AVENUE","SWM-RESID-DEP",246271,"05/02/2013 12:00:00 AM +0000","11/03/2017 12:00:00 AM +0000",NA,NA,NA,1229887.34208,567030.711335,21,"KR","03/12/2018 12:00:00 AM +0000",100015219,"282018","WELLSPRING AVENUE",NA,NA,"46519/163","46519/170","I","INSP-REG03","03733001","Infiltration Trench, Buried by Design",0,0,0,2096.02188842225,"2015","cb",0
"7","290864.09",25451,"INFB","ITRN","506 - RECHARGE TRENCH","UG","CABIN BRANCH - WINCHESTER PHASE 1.1","WELLSPRING AVENUE","SWM-RESID-DEP",246271,"05/02/2013 12:00:00 AM +0000","11/03/2017 12:00:00 AM +0000",NA,NA,NA,1229857.33886,566999.328851,21,"KR","03/12/2018 12:00:00 AM +0000",100015220,"282018","WELLSPRING AVENUE",NA,NA,"46519/163","46519/170","I","INSP-REG03","03733001","Infiltration Trench, Buried by Design",0,0,5.39844328246545,600.287900723051,"2015","cb",0
"8","290864.10",25440,"AQSW","XOGS","506A","UG","CABIN BRANCH - WINCHESTER PHASE 1.1","WELLSPRING AVENUE","SWM-MCG-DEP",246271,"05/02/2013 12:00:00 AM +0000","11/03/2017 12:00:00 AM +0000",NA,NA,NA,1229835.42322,567013.60835,21,"KR","03/12/2018 12:00:00 AM +0000",100015221,"282018","WELLSPRING AVENUE",NA,NA,NA,NA,"I","INSP-REG03","ROW","Aquaswirl",0,0,0,605.685312196612,"2015","cb",0
"9","290864",25517,"INFB","ITRN","401 - RECHARGE TRENCH","UG","CABIN BRANCH - WINCHESTER PHASE 1.1","ESTUARY DRIVE","SWM-RESID-DEP",246271,"05/02/2013 12:00:00 AM +0000","11/03/2017 12:00:00 AM +0000",NA,NA,NA,1230317.92652,567137.797735,21,"KR","03/12/2018 12:00:00 AM +0000",100015223,"282018","ESTUARY DRIVE",NA,NA,"46519/163","46519/170","I","INSP-REG03","03733182","Infiltration Trench, Buried by Design",0,0,0,605.682989236899,"2015","cb",0
"10","290864.03",25503,"UG","OTH","404B - STORAGE VAULT","UG","CABIN BRANCH - WINCHESTER PHASE 1.1","ESTUARY DRIVE","SWM-MCG-DEP",246271,"05/02/2013 12:00:00 AM +0000","11/03/2017 12:00:00 AM +0000",NA,NA,NA,1230227.76135,567054.895013,21,"KR","03/12/2018 12:00:00 AM +0000",100015224,"282018","ESTUARY DRIVE",NA,NA,NA,NA,"I","INSP-REG03","ROW","Underground detention",0,0,27.2513741031289,1772.5833860822,"2015","cb",0
"11","290864.04",25417,"UG","OTH","404C - STORAGE VAULT","UG","CABIN BRANCH - WINCHESTER PHASE 1.1","ESTUARY DRIVE","SWM-MCG-DEP",246271,"05/02/2013 12:00:00 AM +0000","11/03/2017 12:00:00 AM +0000",NA,NA,NA,1230258.10479,567090.765676,21,"KR","03/12/2018 12:00:00 AM +0000",100015225,"282018","ESTUARY DRIVE",NA,NA,NA,NA,"I","INSP-REG03","ROW","Underground detention",0,0,0,1207.91018431447,"2015","cb",0
"12","290864.15",25809,"FSU","OTH","5202A","UG","CABIN BRANCH - WINCHESTER PHASE 1.1","WELLSPRING AVENUE","SWM-MCG-DEP",246271,"05/02/2013 12:00:00 AM +0000","11/03/2017 12:00:00 AM +0000",NA,NA,NA,1229821.29529,567000.439413,21,"SR","04/17/2018 12:00:00 AM +0000",100015688,"282018","WELLSPRING AVENUE",NA,NA,NA,NA,"I","INSP-REG03","ROW","Flow splitter underground",0,0,0,1826.0995302517,"2015","cb",0
"13","290864.16",25792,"FSU","OTH","5204","UG","CABIN BRANCH - WINCHESTER PHASE 1.1","WELLSPRING AVENUE","SWM-MCG-DEP",246271,"05/02/2013 12:00:00 AM +0000","11/03/2017 12:00:00 AM +0000",NA,NA,NA,1229851.87561,567086.46516,21,"SR","04/17/2018 12:00:00 AM +0000",100015689,"282018","WELLSPRING AVENUE",NA,NA,NA,NA,"I","INSP-REG03","ROW","Flow splitter underground",0,0,7996.51178666204,1069.21148502268,"2015","cb",0
"14","292743",28641,"INFB","ITRN","RET GS #1 (212 SF)","UG","Cabin Branch - Winchester Ph 1B, Park D","BYRNE PARK DR","SWM-RESID-DEP",248371,"04/30/2013 12:00:00 AM +0000","12/12/2019 12:00:00 AM +0000",NA,NA,"Strange property polygons",1229806.82354,566463.882416,191,"KR","03/03/2020 12:00:00 AM +0000",100018461,"223702","BYRNE PARK DR, CLARKSBURG",NA,NA,"41463/147","41463/158","I","INSP-REG03","03821876","Infiltration Trench, Buried by Design",0,0,318.619535684586,1777.49746285962,"2015","cb",0
