"","SEQNO","ASSET","STRUC_TYPE","MDE_STRUCT","STRUC_DTAL","SW_CAT","PROP_NAME","ACCS_STRT","DEPARTMENT","SEDCONPMT","APPR_DATE","FINAL_DATE","TOTAL_DA","RCN","COMMENTS","POINT_X","POINT_Y","LAND_USE","UPDATE_BY","L_UPDATE","GISOBJID","SW_FILE","P_ST_ADD","MDE","MDN","EASEMENT","COVENANT","STATUS","INSP_REG","Acct","Type_Desc","lulc_70","lulc_40","lulc_30","lulc_20","year","site","lulc_unknown"
"1","227716.03",14931,"SF","FSND","#1","AG","Greenway Village at Clarksburg, Phase 1","Skylark Road","SWM-RESID-DEP",206161,"02/20/2003 12:00:00 AM +0000","02/26/2010 12:00:00 AM +0000","38",NA,NA,1239211.87395,573083.221539,12,"SR","04/23/2012 12:00:00 AM +0000",100004468,"204344","Skylark Road","570750","1241150",NA,NA,"I","INSP-REG03","03414050","Sand filter",11745.2202527223,0,8238.58072777232,113836.917404669,"2015","tr104",0
"2","227716.04",14829,"FS","OTH","#106","AG","Greenway Village at Clarksburg, Phase 1","Skylark Road","SWM-MCG-DEP",206161,"02/20/2003 12:00:00 AM +0000","02/26/2010 12:00:00 AM +0000","38",NA,"Struc type changed from FSU",1239234.81387,573181.311894,12,"KR","03/20/2017 12:00:00 AM +0000",100004469,"204344","Skylark Road","570750","1241150",NA,NA,"I","INSP-REG03","ROW","Flow splitter",0,0,0,605.542840373702,"2015","tr104",0
"3","227716.05",14830,"FSU","OTH","#204","UG","Greenway Village at Clarksburg, Phase 1","Skylark Road","SWM-RESID-DEP",206161,"02/20/2003 12:00:00 AM +0000","02/26/2010 12:00:00 AM +0000","38",NA,NA,1239579.42276,571868.246607,12,"SR","04/23/2012 12:00:00 AM +0000",100004470,"204344","Skylark Road","570750","1241150",NA,NA,"I","INSP-REG03","03414163","Flow splitter underground",360.567382589608,0,1384.62047145329,80.5713794883341,"2015","tr104",0
"4","227716.09",14831,"FSU","OTH","#126","UG","Greenway Village at Clarksburg, Phase 1","Skylark Road","SWM-MCG-DEP",206161,"02/20/2003 12:00:00 AM +0000","02/26/2010 12:00:00 AM +0000","38",NA,NA,1239429.29904,573009.771227,12,"SR","04/23/2012 12:00:00 AM +0000",100004475,"204344","Skylark Road","570750","1241150",NA,NA,"I","INSP-REG03","ROW","Flow splitter underground",0,0,0,605.546709817834,"2015","tr104",0
"5","227716.10",14750,"AQSW","XOGS","STR PT16","UG","Greenway Village at Clarksburg, Phase 1","Skylark Road","SWM-RESID-DEP",206161,"02/20/2003 12:00:00 AM +0000","02/26/2010 12:00:00 AM +0000","38",NA,NA,1239559.66985,572853.32633,12,"SR","04/23/2012 12:00:00 AM +0000",100004476,"204344","Skylark Road","570750","1241150",NA,NA,"I","INSP-REG03","03414425","Aquaswirl",4065.62283920031,0,1435.70201712465,6495.24251914863,"2015","tr104",0
"6","227716.11",14934,"SFU","FUND","SF 31A-1","UG","Greenway Village at Clarksburg, Phase 1","Persimmon Ridge Rd","SWM-RESID-DEP",206161,"02/20/2003 12:00:00 AM +0000","02/26/2010 12:00:00 AM +0000","38",NA,"2012 - new \ No GISBOJID\ change Type & MD Type",1239665.52593,573411.725147,12,"HF","06/28/2012 12:00:00 AM +0000",100004477,"204344","Persimmon Ridge Rd","570750","1241150",NA,NA,"I","INSP-REG03","03413591","Sand filter, underground",413.979691470973,0,0,191.557731590699,"2015","tr104",0
"7","227716.06",14932,"SF","FSND","#2","AG","Greenway Village at Clarksburg, Phase 1","Skylark Road","SWM-RESID-DEP",206161,"02/20/2003 12:00:00 AM +0000","02/26/2010 12:00:00 AM +0000","38",NA,NA,1239670.29725,571820.606282,12,"SR","04/23/2012 12:00:00 AM +0000",100004471,"204344","Skylark Road","570750","1241150",NA,NA,"I","INSP-REG03","03414163","Sand filter",8482.46028066147,0,1644.8954821513,1054.26282013254,"2015","tr104",0
"8","227716.02",14663,"PDQNED","XDED","Pond 2","AG","Greenway Village at Clarksburg, Phase 1","Skylark Road","SWM-RESID-DEP",206161,"02/20/2003 12:00:00 AM +0000","02/26/2010 12:00:00 AM +0000","38",NA,NA,1239540.87002,571742.39909,21,"SR","04/23/2012 12:00:00 AM +0000",100004472,"204344","Skylark Road","570750","1241150",NA,NA,"I","INSP-REG03","03414163","Pond-dry, extended detention",605.576122525148,0,0,0,"2015","tr104",0
"9","227716.07",14749,"AQSW","XOGS","PT-2","UG","Greenway Village at Clarksburg, Phase 1","Skylark Road","SWM-RESID-DEP",206161,"02/20/2003 12:00:00 AM +0000","02/26/2010 12:00:00 AM +0000","38",NA,NA,1239623.75863,571852.825378,12,"SR","04/23/2012 12:00:00 AM +0000",100004473,"204344","Skylark Road","570750","1241150",NA,NA,"I","INSP-REG03","03414163","Aquaswirl",1068.64279141463,0,2780.88610491157,86625.1774143558,"2015","tr104",0
"10","227716.08",14933,"SF","FSND","#16","AG","Greenway Village at Clarksburg, Phase 1","Skylark Road","SWM-RESID-DEP",206161,"02/20/2003 12:00:00 AM +0000","02/26/2010 12:00:00 AM +0000","38",NA,NA,1239587.78101,572749.844581,12,"SR","04/23/2012 12:00:00 AM +0000",100004474,"204344","Skylark Road","570750","1241150",NA,NA,"I","INSP-REG03","03414425","Sand filter",6067.0530001577,0,447.13075394195,6763.58986788988,"2015","tr104",0
